lang_code,id,uin,name,email,mobile,status_code,regcntr_id,last_login_method,is_active,eff_dtimes
eng,110001,5402120055,Megha Tanga,hortense.dauenhauer@xyz.com,975366148,ACT,10001,PWD,True,now()
eng,110002,7314004469,Mahesh Kumar G,leonia.bermeo@xyz.com,795281431,ACT,10003,PWD,True,now()
eng,110003,7896109326,Raghav,bong.bragan@xyz.com,739704695,ACT,10003,PWD,True,now()
eng,110004,2870381373,Yaswanth,homer.molinar@xyz.com,725028706,ACT,10004,PWD,True,now()
eng,110005,7234451333,Mahesh Kumar Panda,antony.hughes@xyz.com,804319687,ACT,10005,PWD,True,now()
eng,110006,3563474484,Anusha,sunkadaeanusha@gmail.com,9449170382,ACT,10006,PWD,True,now()
eng,110007,5804057178,MOSIP User 1,leia.white@xyz.com,899884346,ACT,10007,PWD,True,now()
eng,110008,1823955503,Idella Houge,idella.houge@xyz.com,946624002,ACT,10008,PWD,True,now()
eng,110009,6028049229,Shay Vitagliano,shay.vitagliano@xyz.com,716591396,ACT,10009,PWD,True,now()
eng,110010,2685259089,Balaji,mazie.negley@xyz.com,718961429,ACT,10010,PWD,True,now()
eng,110011,3834346151,Magda Godoy,magda.godoy@xyz.com,938380935,ACT,10011,PWD,True,now()
eng,110012,3493338361,Himaja,anya.adorno@xyz.com,911713143,ACT,10011,PWD,True,now()
eng,110013,5145284955,Saravanan,darby.self@xyz.com,859668671,ACT,10012,PWD,True,now()
eng,110014,4285838622,Balamurugan,crissy.flor@xyz.com,971384902,ACT,10012,PWD,True,now()
eng,110015,3740463764,Bettina Goering,bettina.goering@xyz.com,876997632,ACT,10013,PWD,True,now()
eng,110016,6431857131,Dinesh,hilary.dunklin@xyz.com,853451517,ACT,10013,PWD,True,now()
eng,110017,2638207977,Kris Rahm,kris.rahm@xyz.com,723337142,ACT,10014,PWD,True,now()
eng,110018,6893364288,Leona,ferne.hang@xyz.com,733802681,ACT,10014,PWD,True,now()
eng,110019,5251539502,Arjun,leilani.heavener@xyz.com,942983448,ACT,10015,PWD,True,now()
eng,110020,7724013062,MOSIP User 2,irwin.norwood@xyz.com,936463358,ACT,10015,PWD,True,now()
eng,110021,7316931025,Magdalena Weber,magdalena.weber@xyz.com,932122450,ACT,10002,PWD,True,now()
eng,110022,9137847236,Tabish Khan,adrienne.hoffman@xyz.com,848488000,ACT,10003,PWD,True,now()
eng,110023,8428758532,Adrienne Mcgee,adrienne.mcgee@xyz.com,894773246,ACT,10004,PWD,True,now()
eng,110024,9804209494,Sreekar,amare.coleman@xyz.com,956554588,ACT,10003,PWD,True,now()
eng,110025,7105248214,Dawson Ibarra,dawson.ibarra@xyz.com,765455583,ACT,10006,PWD,True,now()
eng,110026,9316557128,Lingam,elvis.mcmillan@xyz.com,884282274,ACT,10007,PWD,True,now()
eng,110027,8103486949,Omsai,steve.george@xyz.com,971073663,ACT,10008,PWD,True,now()
eng,110028,9601932866,Colton Elliott,colton.elliott@xyz.com,809908673,ACT,10009,PWD,True,now()
eng,110029,9317596765,Gaurav,carolyn.rodriguez@xyz.com,818876429,ACT,10010,PWD,True,now()
eng,110030,9317596768,Jane Smith,jane.smith@xyz.com,818876432,ACT,10001,PWD,True,now()
eng,110031,9317596767,John Doe,john.doe@xyz.com,818876431,ACT,10001,PWD,True,now()
