id,uin,name,email,mobile,statusCode,regCenterId,langCode,lastLoginDateTime,lastLoginMethod,isActive
110011,5402120055,110011,11011@philsys.gov.ph,123,ACT,10039,eng,NULL,PWD,TRUE
110024,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110126,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110032,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110015,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110021,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110016,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110017,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110018,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110019,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110020,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110022,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110023,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110025,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110026,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110027,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110028,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110029,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110030,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110031,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110033,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110034,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110035,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110036,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110037,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110038,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110039,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110040,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110041,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110042,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110043,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110044,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110045,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110046,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110047,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110048,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110049,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110050,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110051,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110052,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110053,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110054,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110121,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110055,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110056,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110081,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,FALSE
110077,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,FALSE
110079,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110057,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110058,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110059,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110061,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110062,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110063,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110064,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110065,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110066,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110067,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110068,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110069,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110070,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110071,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110072,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110073,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110074,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110075,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110076,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110060,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110078,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110080,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110082,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110083,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110111,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110112,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110113,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110114,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110115,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110116,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110117,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110119,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110120,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110124,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110125,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
110127,5402120055,dummy-name,dummy@dummy.com,999999,ACT,10002,eng,NULL,PWD,TRUE
