Property file name,Key
registration-default.properties,mosip.registration.default-selected-handle-fields
esignet-default.properties,mosip.esignet.auth-challenge.OTP.format
esignet-default.properties,mosip.esignet.auth-challenge.OTP.min-length
esignet-default.properties,mosip.esignet.auth-challenge.OTP.max-length
esignet-default.properties,mosip.esignet.auth-challenge.PWD.format
esignet-default.properties,mosip.esignet.auth-challenge.PWD.min-length
esignet-default.properties,mosip.esignet.auth-challenge.PWD.max-length
esignet-default.properties,mosip.esignet.auth-challenge.BIO.format
esignet-default.properties,mosip.esignet.auth-challenge.BIO.min-length
esignet-default.properties,mosip.esignet.auth-challenge.BIO.max-length
esignet-default.properties,mosip.esignet.auth-challenge.WLA.format
esignet-default.properties,mosip.esignet.auth-challenge.WLA.min-length
esignet-default.properties,mosip.esignet.auth-challenge.WLA.max-length
esignet-default.properties,mosip.esignet.auth-challenge.KBA.format
esignet-default.properties,mosip.esignet.auth-challenge.KBA.min-length
esignet-default.properties,mosip.esignet.auth-challenge.WLA.max-length
esignet-default.properties,mosip.esignet.auth-challenge.PIN.format
esignet-default.properties,mosip.esignet.auth-challenge.PIN.min-length
esignet-default.properties,mosip.esignet.auth-challenge.PIN.max-length
esignet-default.properties,mosip.esignet.captcha.required
esignet-default.properties,mosip.esignet.send-otp.attempts
esignet-default.properties,mosip.esignet.authenticate.attempts
esignet-default.properties,mosip.esignet.authenticator.default.auth-factor.kba.individual-id-field
esignet-default.properties,mosip.esignet.authenticator.default.auth-factor.kba.field-details
mock-identity-system-default.properties,mosip.esignet.authenticator.auth-factor.kba.field-details
mock-identity-system-default.properties,mosip.esignet.authenticator.auth-factor.kba.field-language
id-repository-default.properties,mosip.identity.get.drafts.id
id-repository-default.properties,mosip.identity.get.drafts.version
id-repository-default.properties,spring.datasource.hikari.minimum-idle
id-repository-default.properties,spring.datasource.hikari.maximum-pool-size
id-repository-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route
id-repository-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections
id-repository-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass
id-repository-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route
id-repository-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections
id-repository-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass
id-repository-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route
id-repository-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections
id-repository-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass
id-repository-default.properties,credential.batch.thread.count
id-repository-default.properties,mosip.role.idrepo.identity.postidvididv2
id-repository-default.properties,mosip.mask.function.identityAttributes
id-repository-default.properties,mosip.identity.get.excluded.attribute.list
id-repository-default.properties,mosip.kernel.webclient.exchange.strategy.max-in-memory-size.mbs
id-repository-default.properties,mosip.role.idrepo.identity.postidvidid
id-repository-default.properties,IDREPORETRIEVEIDBYID
id-repository-default.properties,mosip.idrepo.update-identity.fields-to-replace
id-repository-default.properties,mosip.idrepo.extract.template.core-pool-size
id-repository-default.properties,mosip.idrepo.extract.template.max-pool-size
id-repository-default.properties,mosip.idrepo.extract.template.queue-capacity
id-repository-default.properties,idrepo.default.processor.httpclient.connections.max.per.host
id-repository-default.properties,idrepo.default.processor.httpclient.connections.max
id-repository-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route
id-repository-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections
id-repository-default.properties,mosip.kernel.http.default.restTemplate.max-connection-per-route
id-repository-default.properties,mosip.kernel.http.default.restTemplate.total-max-connections
id-repository-default.properties,mosip.kernel.http.plain.restTemplate.max-connection-per-route
id-repository-default.properties,mosip.kernel.http.plain.restTemplate.total-max-connections
application-default.properties,packetmanager.base.url
application-default.properties,mosip.config.server.file.storage.uri
application-default.properties,server.max-http-request-header-size
application-default.properties,provider.packetreader.crvs1
application-default.properties,provider.packetwriter.crvs1
application-default.properties,mosip.webui.auto.logout.idle
application-default.properties,mosip.webui.auto.logout.ping
application-default.properties,mosip.webui.auto.logout.timeout
application-default.properties,mosip.vercred.context.url.map
application-default.properties,spring.mvc.pathmatch.matching-strategy
application-default.properties,spring.info.git.location
application-default.properties,management.endpoint.env.show-values
application-default.properties,mosip.kernel.keymgr.hsm.health.check.enabled
credential-request-default.properties,hibernate.hbm2ddl.auto
credential-request-default.properties,hibernate.temp.use_jdbc_metadata_defaults
credential-request-default.properties,spring.jpa.properties.hibernate.temp.use_jdbc_metadata_defaults
credential-request-default.properties,hibernate.jdbc.lob.non_contextual_creation
data-share-default.properties,mosip.iam.adapter.appid
data-share-default.properties,mosip.iam.adapter.clientid
data-share-default.properties,mosip.iam.adapter.clientsecret
data-share-default.properties,mosip.iam.adapter.issuerURL
data-share-default.properties,mosip.authmanager.client-token-endpoint
data-share-default.properties,mosip.iam.adapter.validate-expiry-check-rate
data-share-default.properties,mosip.iam.adapter.renewal-before-expiry-interval
data-share-default.properties,mosip.iam.adapter.self-token-renewal-enable
data-share-default.properties,object.store.max.connection
data-share-default.properties,mosip.data.share.restTemplate.max-connection-per-route
data-share-default.properties,mosip.data.share.restTemplate.total-max-connections
data-share-default.properties,mosip.data.share.policy-cache.expiry-time-millisec
data-share-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route
data-share-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections
packet-manager-default.properties,mosip.auth.adapter.impl.basepackage
